names;image_links;prices;ratings;merchants
Oppo A37 RAM 2/16 Garansi Distributor 1 Tahun - Black & Gold - gold;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/15/8b658798-bfbd-4281-b119-4e2a60b98170.jpg.webp?ect=4g;539000;4.7;tami_cell
Xiaomi Redmi 9A 2/32 GB Garansi Resmi - Abu-abu;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/22/49653ee3-0363-4523-adff-ff3407383173.jpg.webp?ect=4g;1212000;5;Gudang-HP
Xiaomi Redmi 2 RAM 1/8 Garansi Distributor 1 Tahun - Abu-abu;https://images.tokopedia.net/img/cache/500-square/product-1/2020/7/25/49787181/49787181_c788f912-1e2e-4d9d-8f5d-253bc5343c3c_1500_1500.webp?ect=4g;375000;4.7;tami_cell
Nokia 105 King (2019) Garansi Resmi TAM - Hitam;https://images.tokopedia.net/img/cache/500-square/product-1/2020/3/13/737535439/737535439_3c47858f-d49a-4d75-bea1-aa5840565b69_1074_1074.jpg.webp?ect=4g;232000;4.9;Senjaya Selindo
Xiaomi Redmi 9c 4/64 GB Garansi Resmi - Biru;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/22/26bb0702-69f1-4ecf-a80b-f53fde22a34a.jpg.webp?ect=4g;1666000;5;Gudang-HP
Xiaomi Note 2 RAM 2/16 Garansi Distributor 1 Tahun - Hitam;https://images.tokopedia.net/img/cache/500-square/product-1/2020/3/1/49787181/49787181_3b240568-94e5-40a3-a6b1-df001c4cc884_516_516.webp?ect=4g;449000;4.6;tami_cell
Xiaomi Redmi 9A 3/32 GB Garansi Resmi - Abu-abu;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/22/a809e810-f64a-48b3-b820-f394406eb28b.jpg.webp?ect=4g;1363000;5;Gudang-HP
Xiaomi Redmi 2 1/8GB 2/16GB - 1/8GB, Putih;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/23/2394aa4b-547c-4ac2-bb71-0e5c19d2e0d3.jpg.webp?ect=4g;375000;4.7;hp360
Samsung Galaxy J2 Prime Garansi Resmi SEIN Indonesia NEW segel - Hitam;https://images.tokopedia.net/img/cache/500-square/product-1/2019/9/24/2456034/2456034_aa2f7628-57c5-4f0c-be83-e0abe4118f58_1000_1000.webp?ect=4g;1699000;4.9;shopx
Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi , IMEI Terdaftar - [2/32] Grey;https://images.tokopedia.net/img/cache/500-square/product-1/2020/8/18/16633024/16633024_ac7359fa-8e71-4c62-9cbb-ee9b2ad3ed5e_625_625.webp?ect=4g;1239000;5;duniagadgetku
